sale_id,timestamp,product,quantity,price,day_of_week
1,2022-02-15 09:11:00,Chardonnay,2,48.83,Tuesday
2,2022-02-03 14:36:00,Merlot,3,37.67,Thursday
3,2022-03-09 20:38:00,Chardonnay,4,44.19,Wednesday
4,2022-02-26 19:05:00,Cabernet,4,69.95,Saturday
5,2022-02-10 11:28:00,Cabernet,3,89.77,Thursday
6,2022-02-21 09:42:00,Chardonnay,5,91.42,Monday
7,2022-02-03 18:51:00,Pinot Noir,1,81.21,Thursday
8,2022-01-15 01:20:00,Bootleg Red,5,75.81,Saturday
9,2022-02-17 06:38:00,Bootleg Red,4,70.3,Thursday
10,2022-01-08 16:45:00,Pinot Noir,5,13.46,Saturday
11,2022-02-23 11:18:00,Merlot,5,64.03,Wednesday
12,2022-01-13 09:59:00,Merlot,1,30.29,Thursday
13,2022-02-21 14:18:00,Chardonnay,4,87.18,Monday
14,2022-01-31 19:24:00,Merlot,2,70.66,Monday
15,2022-02-21 11:58:00,Cabernet,5,54.24,Monday
16,2022-02-19 22:41:00,Chardonnay,3,57.03,Saturday
17,2022-02-14 08:06:00,Cabernet,1,17.9,Monday
18,2022-01-16 00:23:00,Merlot,5,15.52,Sunday
19,2022-01-17 15:27:00,Chardonnay,4,58.73,Monday
20,2022-02-26 17:31:00,Cabernet,5,59.93,Saturday
21,2022-02-12 00:44:00,Pinot Noir,5,25.4,Saturday
22,2022-01-04 03:28:00,Chardonnay,1,15.49,Tuesday
23,2022-03-06 17:25:00,Merlot,5,11.5,Sunday
24,2022-02-22 16:02:00,Pinot Noir,4,24.04,Tuesday
25,2022-01-05 05:41:00,Cabernet,3,61.29,Wednesday
26,2022-01-02 04:53:00,Cabernet,5,70.87,Sunday
27,2022-03-10 17:01:00,Merlot,5,85.35,Thursday
28,2022-01-24 17:03:00,Bootleg Red,4,36.38,Monday
29,2022-02-12 15:15:00,Bootleg Red,2,43.13,Saturday
30,2022-02-02 05:31:00,Merlot,5,78.81,Wednesday
31,2022-02-15 02:26:00,Chardonnay,1,56.58,Tuesday
32,2022-01-28 04:12:00,Chardonnay,1,43.94,Friday
33,2022-01-25 10:59:00,Cabernet,1,96.54,Tuesday
34,2022-03-05 00:06:00,Bootleg Red,1,62.9,Saturday
35,2022-01-09 16:28:00,Pinot Noir,1,56.17,Sunday
36,2022-01-31 04:03:00,Pinot Noir,3,61.31,Monday
37,2022-01-21 15:47:00,Pinot Noir,2,94.18,Friday
38,2022-02-02 18:06:00,Merlot,2,64.87,Wednesday
39,2022-01-25 10:22:00,Chardonnay,3,39.39,Tuesday
40,2022-01-01 03:34:00,Chardonnay,3,76.8,Saturday
41,2022-02-24 02:32:00,Bootleg Red,1,99.3,Thursday
42,2022-02-26 22:10:00,Merlot,4,27.82,Saturday
43,2022-02-18 07:41:00,Chardonnay,4,60.66,Friday
44,2022-02-10 21:20:00,Pinot Noir,2,35.66,Thursday
45,2022-01-19 00:02:00,Pinot Noir,2,62.25,Wednesday
46,2022-01-31 03:28:00,Chardonnay,1,78.19,Monday
47,2022-02-12 20:52:00,Cabernet,1,89.93,Saturday
48,2022-02-02 10:41:00,Cabernet,3,39.59,Wednesday
49,2022-01-20 18:44:00,Chardonnay,1,82.97,Thursday
50,2022-01-29 06:35:00,Chardonnay,1,81.72,Saturday
51,2022-02-06 20:51:00,Chardonnay,5,68.12,Sunday
52,2022-02-12 05:46:00,Chardonnay,2,62.09,Saturday
53,2022-03-02 07:13:00,Bootleg Red,1,32.21,Wednesday
54,2022-03-02 02:31:00,Cabernet,5,15.59,Wednesday
55,2022-03-09 20:28:00,Bootleg Red,3,45.24,Wednesday
56,2022-01-25 19:53:00,Pinot Noir,2,34.37,Tuesday
57,2022-02-10 06:44:00,Bootleg Red,4,84.94,Thursday
58,2022-01-20 16:42:00,Cabernet,1,53.8,Thursday
59,2022-02-18 22:35:00,Chardonnay,4,61.86,Friday
60,2022-02-28 15:08:00,Chardonnay,4,28.75,Monday
61,2022-02-08 13:32:00,Merlot,3,58.64,Tuesday
62,2022-01-06 15:08:00,Bootleg Red,2,77.0,Thursday
63,2022-01-17 14:03:00,Merlot,4,14.59,Monday
64,2022-01-02 01:18:00,Chardonnay,2,53.1,Sunday
65,2022-01-12 00:26:00,Pinot Noir,2,28.58,Wednesday
66,2022-01-22 09:19:00,Merlot,1,13.97,Saturday
67,2022-01-03 13:05:00,Bootleg Red,2,81.97,Monday
68,2022-02-07 23:21:00,Cabernet,5,94.09,Monday
69,2022-01-24 06:58:00,Bootleg Red,3,11.08,Monday
70,2022-03-07 01:53:00,Chardonnay,3,10.13,Monday
71,2022-01-14 02:33:00,Pinot Noir,5,29.83,Friday
72,2022-02-28 04:02:00,Pinot Noir,2,65.43,Monday
73,2022-02-28 09:59:00,Pinot Noir,1,31.32,Monday
74,2022-03-07 12:17:00,Merlot,2,26.88,Monday
75,2022-01-07 03:17:00,Chardonnay,1,52.72,Friday
76,2022-02-08 18:19:00,Pinot Noir,5,95.24,Tuesday
77,2022-01-23 21:29:00,Pinot Noir,5,21.96,Sunday
78,2022-02-21 16:11:00,Chardonnay,3,85.28,Monday
79,2022-01-17 00:00:00,Bootleg Red,5,41.16,Monday
80,2022-02-16 16:13:00,Chardonnay,4,97.11,Wednesday
81,2022-02-11 06:24:00,Cabernet,5,65.01,Friday
82,2022-02-03 19:43:00,Bootleg Red,3,46.71,Thursday
83,2022-01-29 22:40:00,Cabernet,1,87.04,Saturday
84,2022-01-24 09:20:00,Pinot Noir,2,52.74,Monday
85,2022-01-20 17:09:00,Cabernet,3,65.49,Thursday
86,2022-02-20 02:47:00,Pinot Noir,5,69.67,Sunday
87,2022-01-29 05:56:00,Pinot Noir,2,85.55,Saturday
88,2022-01-07 13:12:00,Pinot Noir,1,24.01,Friday
89,2022-01-28 20:14:00,Pinot Noir,3,47.97,Friday
90,2022-02-07 17:51:00,Pinot Noir,1,50.86,Monday
91,2022-02-03 12:09:00,Cabernet,2,72.41,Thursday
92,2022-01-24 04:07:00,Bootleg Red,3,83.8,Monday
93,2022-03-05 08:22:00,Cabernet,4,58.18,Saturday
94,2022-02-20 14:31:00,Merlot,2,95.79,Sunday
95,2022-01-22 17:43:00,Chardonnay,5,94.57,Saturday
96,2022-01-20 15:03:00,Merlot,2,80.3,Thursday
97,2022-01-19 13:46:00,Cabernet,1,98.91,Wednesday
98,2022-03-07 02:11:00,Bootleg Red,1,60.83,Monday
99,2022-01-29 18:20:00,Cabernet,5,12.38,Saturday
100,2022-02-23 20:54:00,Pinot Noir,5,59.86,Wednesday
101,2022-03-04 12:22:00,Merlot,1,60.21,Friday
102,2022-01-22 02:57:00,Pinot Noir,4,57.63,Saturday
103,2022-01-21 01:07:00,Chardonnay,1,49.84,Friday
104,2022-01-05 14:55:00,Chardonnay,1,90.95,Wednesday
105,2022-02-09 03:59:00,Pinot Noir,1,66.97,Wednesday
106,2022-02-09 06:31:00,Cabernet,2,22.98,Wednesday
107,2022-03-02 03:27:00,Chardonnay,3,65.08,Wednesday
108,2022-02-15 14:48:00,Merlot,2,32.67,Tuesday
109,2022-01-24 19:44:00,Cabernet,1,58.27,Monday
110,2022-01-25 07:25:00,Chardonnay,5,85.09,Tuesday
111,2022-03-01 04:16:00,Pinot Noir,2,19.47,Tuesday
112,2022-01-27 04:48:00,Cabernet,1,60.85,Thursday
113,2022-01-31 09:20:00,Chardonnay,5,93.96,Monday
114,2022-02-15 05:03:00,Cabernet,5,24.73,Tuesday
115,2022-01-06 08:45:00,Merlot,1,47.28,Thursday
116,2022-03-02 09:04:00,Cabernet,5,51.17,Wednesday
117,2022-02-19 10:45:00,Pinot Noir,3,21.58,Saturday
118,2022-02-13 11:24:00,Merlot,4,78.57,Sunday
119,2022-01-03 07:33:00,Merlot,1,10.96,Monday
120,2022-01-01 06:10:00,Chardonnay,4,49.2,Saturday
121,2022-02-16 12:14:00,Cabernet,2,62.72,Wednesday
122,2022-01-22 16:28:00,Merlot,4,70.03,Saturday
123,2022-02-20 20:07:00,Cabernet,1,82.73,Sunday
124,2022-03-11 05:02:00,Merlot,2,34.29,Friday
125,2022-03-02 18:03:00,Pinot Noir,2,63.77,Wednesday
126,2022-01-13 03:05:00,Cabernet,3,13.01,Thursday
127,2022-01-06 23:27:00,Chardonnay,3,58.97,Thursday
128,2022-03-05 09:44:00,Pinot Noir,4,59.8,Saturday
129,2022-02-14 15:39:00,Bootleg Red,3,65.32,Monday
130,2022-02-17 11:40:00,Cabernet,5,17.43,Thursday
131,2022-02-12 03:18:00,Cabernet,4,63.81,Saturday
132,2022-01-24 20:19:00,Bootleg Red,4,93.4,Monday
133,2022-02-18 09:42:00,Merlot,4,34.63,Friday
134,2022-01-16 16:53:00,Bootleg Red,1,72.78,Sunday
135,2022-02-25 03:28:00,Chardonnay,5,20.17,Friday
136,2022-02-02 19:37:00,Merlot,5,34.27,Wednesday
137,2022-02-12 14:41:00,Chardonnay,4,45.1,Saturday
138,2022-01-31 04:36:00,Bootleg Red,4,98.96,Monday
139,2022-01-01 11:14:00,Merlot,1,91.58,Saturday
140,2022-01-28 15:44:00,Merlot,3,24.07,Friday
141,2022-02-15 22:45:00,Pinot Noir,2,15.43,Tuesday
142,2022-02-08 05:22:00,Chardonnay,5,95.66,Tuesday
143,2022-02-28 07:55:00,Pinot Noir,5,36.11,Monday
144,2022-03-01 21:44:00,Bootleg Red,2,52.52,Tuesday
145,2022-01-31 12:03:00,Merlot,2,33.92,Monday
146,2022-03-06 18:51:00,Chardonnay,5,89.3,Sunday
147,2022-02-25 09:56:00,Chardonnay,1,18.4,Friday
148,2022-02-04 23:25:00,Chardonnay,1,16.58,Friday
149,2022-01-08 07:43:00,Chardonnay,2,23.96,Saturday
150,2022-01-08 03:33:00,Merlot,3,34.41,Saturday
151,2022-02-02 19:16:00,Cabernet,4,90.23,Wednesday
152,2022-01-22 13:46:00,Cabernet,5,64.67,Saturday
153,2022-02-28 18:30:00,Chardonnay,3,71.27,Monday
154,2022-01-31 13:12:00,Chardonnay,3,43.79,Monday
155,2022-01-05 21:11:00,Merlot,2,17.78,Wednesday
